snippet,lead_paragraph,word_count,pub_date,headline.main,subsection_name,year
"Rescuers continue to pull the bodies of victims from Lake Van, in eastern Turkey, more than three weeks after the fishing boat carrying them sank.","ISTANBUL — Turkish rescue teams have retrieved the bodies of 60 migrants after their boat sank in a lake in the east of the country, Turkish media reported on Monday, in one of the worst disasters involving migrants in Turkey in recent years.",909,2020-07-20,At Least 60 Migrants Killed in Turkish Boat Disaster,Middle East,2020
A hospital owner was arrested trying to flee in disguise after selling certificates saying that migrant workers were coronavirus-free. Most were never tested.,"NEW DELHI — The Bangladeshi authorities have arrested the owner of a hospital who they said had sold migrant workers thousands of certificates showing a negative result on coronavirus tests, when in fact many tests were never performed.",782,2020-07-16,Big Business in Bangladesh: Selling Fake Coronavirus Certificates,Asia Pacific,2020
"The coronavirus has highlighted migrants’ inferior status in Russia. With no jobs, and sometimes no health care, many want to go home — but find they can’t.","MOSCOW — Migrant workers from Central Asia, shrugging off the risk of coronavirus infection, have gathered in groups each day outside their countries’ embassies in Moscow, banging on doors and fences and shouting for officials to come out and tell them when they can finally get on a charter flight home.",1213,2020-06-15,"For Migrants in Russia, Virus Means No Money to Live and No Way to Leave",Europe,2020
"Groups of refugees and migrants waited in a Slovenian border town, a stopping point for most on their journey to northern Europe.","Groups of refugees and migrants waited in a Slovenian border town, a stopping point for most on their journey to northern Europe.",0,2015-10-27,Migrants Gather in Slovenia,Europe,2015
A German group crammed 71 volunteers into the back of a small truck to highlight the plight of those who turn to smugglers in the hope of reaching richer countries in Europe.,A German group crammed 71 volunteers into the back of a small truck to highlight the plight of those who turn to smugglers in the hope of reaching richer countries in Europe.,0,2015-09-03,Imagining the Migrant Experience,Europe,2015
"With thousands of migrants stranded at Greece’s main commercial port in Piraeus, an official in Brussels said the European migrant crisis was “heading toward anarchy.”","With thousands of migrants stranded at Greece’s main commercial port in Piraeus, an official in Brussels said the European migrant crisis was “heading toward anarchy.”",0,2016-02-25,Migrants Stranded in Greece,Europe,2016
New York Times correspondents and editors answer readers questions about the European migrant crisis. Submit your questions.,"As thousands of migrants seek refuge in Europe, and governments continue to struggle with how to receive them, The New York Times asked readers for their questions on the crisis. Here are some answers, and a way for you to submit your questions.",1326,2015-09-27,The Migrant Crisis in Europe: Readers’ Questions Answered,Europe,2015
"Several hundred people, including children, spent the night in tents at a reception center in an open field in Roszke, Hungary, after crossing into the country from Serbia.","Several hundred people, including children, spent the night in tents at a reception center in an open field in Roszke, Hungary, after crossing into the country from Serbia.",0,2015-09-08,Camp for Migrants in Hungary,Europe,2015
"The Italian fashion retailer known for its provocative campaigns repurposed two photos from a charity’s rescue operation, and even an anti-immigrant Italian minister weighed in.","LONDON — Benetton, the Italian fashion retailer known for its brightly colored knits and provocative campaigns, may not be the global powerhouse it once was. But the company was back in the news this week for an ad that strikes at the heart of an issue bedeviling European borders: migration.",749,2018-06-21,Benetton ‘Migrants’ Ads Draw Outrage for Using Photos of Real Migrants,Europe,2018
"Antonio Orozco recounts crossing the U.S.-Mexico border in his youth, and explains how the experience differs for his sons today.","Antonio Orozco recounts crossing the U.S.-Mexico border in his youth, and explains how the experience differs for his sons today.",0,2011-07-06,Migrant Voices | Antonio,Americas,2011
"Angel Orozco describes his life as a student in Arandas, Mexico, and explains why he sees no need to attempt the dangerous trek across the U.S.-Mexico border.","Angel Orozco describes his life as a student in Arandas, Mexico, and explains why he sees no need to attempt the dangerous trek across the U.S.-Mexico border.",0,2011-07-06,Migrant Voices | Angel,Americas,2011
"As they arrived at a Munich train station, migrants from Syria spoke about their journey.","As they arrived at a Munich train station, migrants from Syria spoke about their journey.",0,2015-09-01,Migrants Arrive in Munich,Europe,2015
"Andrés Orozco compares job prospects in the United States with those of his native Arandas, Mexico.","Andrés Orozco compares job prospects in the United States with those of his native Arandas, Mexico.",0,2011-07-06,Migrant Voices | Andrés,Americas,2011
"Migrant workers have not only been victims of Covid-19, but spreaders, too, creating a new world of risk for a vulnerable population.","BANGKOK — His whole family back in Myanmar depended on him. But Ko Zaw Win Tun, one of an estimated four million migrant workers in Thailand, lost his job at a Bangkok toy store when the city went into a coronavirus lockdown.",1169,2020-04-10,Coronavirus Finds Fuel in a World of Migrants,Asia Pacific,2020
Thousands of refugees managed to get past a cordon set up to prevent them from crossing into the country from Greece.,"SKOPJE, Macedonia — Hours after several hundred migrants bypassed a line of baton-wielding police officers on Saturday to enter Macedonia from Greece, nearly all those remaining on the Greek side of the border were allowed in, according to video footage and human rights activists at the scene. By Saturday evening, only around 200 people were left behind a fenced area on the line that separates the two countries.",698,2015-08-22,Migrants Rush Across Border in Macedonia,Europe,2015
"A growing number of migrants from Africa and the Middle East are crossing the ocean for Europe, and many never make it.","TARIFA, Spain — The southern tip of Spain is barely nine miles from the coast of Morocco, a distance so tantalizingly close that African migrants trying to reach Europe can see the Continent from the Moroccan shoreline. ",891,2013-10-04,Desperation Fuels Trips of Migrants to Spain,Europe,2013
The 2013 sinking of a flimsy boat carrying more than 500 people off the Italian island of Lampedusa was a signature moment in Europe’s migration crisis. Survivors share their stories.,"SANDVIKEN, Sweden — As tens of thousands of migrants run the gantlet of dangers to reach Europe, Natanael Haile, a refugee from Eritrea now living in Sweden, is struggling to get over his nightmarish journey.",1840,2015-09-08,"Migrants Who Survived Shipwreck Are Grateful, but Disillusioned",Europe,2015
The Mideast’s wealthiest countries depend on foreigners to do jobs their citizens won’t. But the virus has hobbled the arrangement and drawn attention to its inequities.,,1337,2020-05-09,Virus Forces Persian Gulf States to Reckon With Migrant Labor,Middle East,2020
Laborers have not just stopped traveling in search of work. Many have also headed back to their home countries.,"MEXICO CITY — A migrant shelter in southern Mexico called La 72 has for years been a popular way station for those traveling from Central America to the United States. Last year it received a record number of visitors, sometimes sheltering more than 2,000 a month.",1377,2020-05-04,"As World Comes to Halt Amid Pandemic, So Do Migrants",Americas,2020
Trump said he would punish Guatemala for failing to sign a deal intended to reduce the flow of migrants to the U.S.,"Declaring that “Guatemala has not been good,” President Trump threatened on Tuesday to retaliate against the country for not signing an immigration deal. He said his administration was considering imposing tariffs on Guatemalan exports or taxing money sent home by migrants.",580,2019-07-23,Trump Threatens Guatemala With Tariffs Over Migrants,Americas,2019
"China sees development and an enhanced security presence as key to stability, but the flow of people has deepened resentment among many Tibetans.","LHASA, Tibet  They come by new high-altitude trains, four a day, cruising 1,200 miles past snow-capped mountains. And they come by military truck convoy, lumbering across the roof of the world.",1563,2010-07-24,China’s Money and Migrants Pour Into Tibet,Asia Pacific,2010
"After a boat loaded with migrants sank off the coast of Crete, Joel Millman, a spokesman for the International Organization for Migration, said that the Greek island is becoming a new destination for migrants.","After a boat loaded with migrants sank off the coast of Crete, Joel Millman, a spokesman for the International Organization for Migration, said that the Greek island is becoming a new destination for migrants.",0,2016-06-03,Migrants Now Aiming for Crete,Europe,2016
The Turkish Coast Guard rescued 52 Afghan and Iraqi migrants and detained two smugglers off the coast of the town of Ayvacik on Thursday.,The Turkish Coast Guard rescued 52 Afghan and Iraqi migrants and detained two smugglers off the coast of the town of Ayvacik on Thursday.,0,2016-01-28,Turkey Rescues Migrants at Sea,Middle East,2016
An employee of a private television channel associated with Hungary’s far-right Jobbik party was filmed kicking migrants.,An employee of a private television channel associated with Hungary’s far-right Jobbik party was filmed kicking migrants.,0,2015-09-09,Camerawoman Kicks Migrants in Hungary,Europe,2015
"The German foreign minister, Frank-Walter Steinmeier, and President Sergio Mattarella of Italy spoke on the reported deaths in the Mediterranean Sea of hundreds of migrants who were trying to reach Europe.","The German foreign minister, Frank-Walter Steinmeier, and President Sergio Mattarella of Italy spoke on the reported deaths in the Mediterranean Sea of hundreds of migrants who were trying to reach Europe.",0,2016-04-19,European Leaders on Migrant Drownings,Europe,2016
"Jean-Claude Juncker, president of the European Commission, said European nations needed to take in 160,000 migrants and announced a package for legal migration, expected in early 2016.","Jean-Claude Juncker, president of the European Commission, said European nations needed to take in 160,000 migrants and announced a package for legal migration, expected in early 2016.",0,2015-09-09,Juncker Proposes Migrant Quota,Europe,2015
"Frustrated and exhausted by the lingering problems from the 2015 crisis, Greeks once generous with refugees are turning hostile, some violently.","EVROS, Greece — The farmers and pensioners wore black clothes and heavy boots, imitating Greece’s special forces, and trod along a rural road on a night patrol looking for migrants trying to cross the northern land border with Turkey. “We’ll get you next time!” they shouted at a small group of men who had made it over and fled.",1328,2020-03-07,Vigilantes in Greece Say ‘No More’ to Migrants,Europe,2020
"About 50 Afghan migrants crossing into Iran illegally were beaten and thrown into a river, local news media and witnesses say. As many as half did not survive, they said.","KABUL, Afghanistan — The foreign ministry of Afghanistan on Saturday said it was investigating claims that dozens of Afghan migrants detained in Iran were tortured by that country’s border guards and thrown into a river, where many of them drowned.",537,2020-05-02,Afghanistan Investigating Claims Migrants Were Killed by Iranian Guards,Asia Pacific,2020
"Since 2005, about 60,000 sub-Saharan Africans have slipped into Israel, and tensions caused by their presence have prompted a tough new policy to stem the influx.","TEL AVIV — One by one, immigration inspectors escorted the migrants out of a dilapidated building into an alley teeming with African-run stores and hair salons. Then, they were led onto a waiting bus, in the first steps on the way to deportation to their native South Sudan. ",1191,2012-06-18,Crackdown on Migrants Tugs at Soul of Israelis,Middle East,2012
"A resident and a volunteer in the migrant camp in Calais, France, discussed concerns about its future.","A resident and a volunteer in the migrant camp in Calais, France, discussed concerns about its future.",0,2016-02-25,Inside the Migrant Camp in Calais,Europe,2016
"After the Paris attacks, Greece has stepped up its migrant checks.","After the Paris attacks, Greece has stepped up its migrant checks.",0,2015-11-20,Migrants Pass Checkpoints in Greece,Europe,2015
"There were chaotic scenes on Wednesday in Horgos, a Serbian town bordering Hungary, as Hungarian police used water cannons and tear gas to stop migrants from entering the country.","There were chaotic scenes on Wednesday in Horgos, a Serbian town bordering Hungary, as Hungarian police used water cannons and tear gas to stop migrants from entering the country.",0,2015-09-16,Hungarian Police Block Migrants,Middle East,2015
Crowds of people waiting to board trains to Austria and Germany early Tuesday at the Keleti train station protested after the station shut down temporarily.,Crowds of people waiting to board trains to Austria and Germany early Tuesday at the Keleti train station protested after the station shut down temporarily.,0,2015-09-01,Migrants Stranded at Station in Budapest,Europe,2015
A representative for Doctors Without Borders at the Idomeni camp on the Greece-Macedonia border spoke about how the organization was helping women leave the camp to give birth at a proper facility.,A representative for Doctors Without Borders at the Idomeni camp on the Greece-Macedonia border spoke about how the organization was helping women leave the camp to give birth at a proper facility.,0,2016-03-09,Migrant Childbirths at Camp in Greece,Europe,2016
Migrants attempting to enter Britain have been boarding trucks stuck in traffic at the port of Calais in northern France.,Migrants attempting to enter Britain have been boarding trucks stuck in traffic at the port of Calais in northern France.,0,2015-06-24,Migrants Target Trucks in France,Europe,2015
"Gathering in Luxembourg, Foreign Ministers from European countries discussed how they plan to tackle the ongoing refugee crisis.","Gathering in Luxembourg, Foreign Ministers from European countries discussed how they plan to tackle the ongoing refugee crisis.",0,2015-09-04,European Ministers on the Migrant Crisis,Europe,2015
"In compliance with a new agreement between the European Union and Turkey, the Greek authorities started moving migrants and refugees from the islands to make space for new arrivals.","In compliance with a new agreement between the European Union and Turkey, the Greek authorities started moving migrants and refugees from the islands to make space for new arrivals.",0,2016-03-21,Migrants Arrive in Mainland Greece,Europe,2016
"Amid the intensifying crisis for migrants in Greece, Amnesty International's secretary general, Salil Shetty, called a deal between the E.U. and Turkey ""legally and morally flawed.""","Amid the intensifying crisis for migrants in Greece, Amnesty International's secretary general, Salil Shetty, called a deal between the E.U. and Turkey ""legally and morally flawed.""",0,2016-03-11,Amnesty International on Migrant Crisis,Europe,2016
"In April 2015, a ship loaded with migrants heading for Europe sank off the coast of Libya, drowning hundreds. This week, Italy surfaced the vessel, with bodies still trapped in the hull.","In April 2015, a ship loaded with migrants heading for Europe sank off the coast of Libya, drowning hundreds. This week, Italy surfaced the vessel, with bodies still trapped in the hull.",0,2016-07-01,Italy Raises Migrant Shipwreck,Europe,2016
Hungarian police officers were filmed throwing packs of sandwiches to migrants at a reception center in Roszke. The authorities told Reuters they had started an “emergency inquiry” into the matter.,Hungarian police officers were filmed throwing packs of sandwiches to migrants at a reception center in Roszke. The authorities told Reuters they had started an “emergency inquiry” into the matter.,0,2015-09-11,Migrants Scramble for Food in Hungary,Europe,2015
"Hundreds of migrants on a train headed to an area near the Austrian border were stranded in Bicske, Hungary, in a standoff with the police.","Hundreds of migrants on a train headed to an area near the Austrian border were stranded in Bicske, Hungary, in a standoff with the police.",0,2015-09-04,Migrants Face Police in Hungary,Europe,2015
"The reported deaths of a large number of migrants in the Mediterranean were discussed by Italian officials, including President Sergio Mattarella, one year after a similar loss off the coast of Libya.","The reported deaths of a large number of migrants in the Mediterranean were discussed by Italian officials, including President Sergio Mattarella, one year after a similar loss off the coast of Libya.",0,2016-04-18,Italy's President on Migrant Deaths,Europe,2016
"Francis warned against a resurgence of populist movements and urged compassion for migrants fleeing poverty, violence and natural disasters.",ROME — Pope Francis defended “modern multilateral diplomacy” and international institutions against “the resurgence of nationalistic tendencies” in an address at the Vatican on Monday.,664,2019-01-07,Pope Francis Appeals to Europe to Show ‘Solidarity’ With Migrants,Europe,2019
"As two more ships with more than a 1,000 migrants arrived at Port of Piraeus in Greece, the cash-strapped country asked the European Union for financial aid to cope with the influx.","As two more ships with more than a 1,000 migrants arrived at Port of Piraeus in Greece, the cash-strapped country asked the European Union for financial aid to cope with the influx.",0,2016-03-02,Flow of Migrants Continues in Greece,Europe,2016
European governments are taking harsher measures against migrants as the coronavirus pandemic has unfolded.,"The Maltese Navy was accused of sabotaging a migrant boat off the coast of Malta on Thursday after letting it drift for more than a day, the latest in a series of hard-line actions taken by European countries against migrants since the start of the coronavirus crisis.",586,2020-04-09,Malta Accused of Sabotaging Migrant Boat,Europe,2020
"The migrants poured into Austria on Saturday after being bounced around the Balkans, as Hungary grudgingly allowed at least 11,000 to enter from Croatia.",LONDON — Thousands of migrants poured into Austria on Saturday after being bounced around countries overwhelmed by their arrival and insistent that they keep moving. ,1122,2015-09-19,Thousands of Migrants Flood Into Austria,Europe,2015
"Hundreds of people walked along a road north of Padborg, Denmark, toward Sweden on Wednesday.","Hundreds of people walked along a road north of Padborg, Denmark, toward Sweden on Wednesday.",0,2015-09-09,"In Denmark, Migrants Aim for Sweden",Europe,2015
"Thomas de Maizière, the German interior minister, said economic migrants trying to come to Europe should stay in hot spots like Greece and Italy and then be sent back to their home countries.","Thomas de Maizière, the German interior minister, said economic migrants trying to come to Europe should stay in hot spots like Greece and Italy and then be sent back to their home countries.",0,2015-06-16,E.U. Discourages Economic Migrants,Europe,2015
"The fears of public officials and humanitarian groups were realized on Monday, when thousands of asylum seekers backed up at border crossings.","LJUBLJANA, Slovenia — After weeks of warnings about the dangers involved in Europe’s migrant influx, and fears about winter’s arrival, the worries of public officials and humanitarian groups were realized on Monday when thousands of asylum seekers, many of them families with small children, began to back up at crossings and were stranded in a chilly rain.",1394,2015-10-20,"Stranded in Cold Rain, a Logjam of Migrants in the Balkans",Europe,2015
Dozens of migrants were rescued by the Turkish Coast Guard after their dinghy became stranded on a rocky outcropping in the Aegean Sea.,Dozens of migrants were rescued by the Turkish Coast Guard on Thursday after their rubber dinghy snagged on a rocky outcropping off Turkey’s Aegean coast.,553,2017-12-14,Turkish Coast Guard Rescues Stranded Migrants by Helicopter,Europe,2017
"At least 40 migrants died on an overcrowded smuggling boat north of Libya, and about 320 others aboard were saved by the Italian Navy.","ROME — The crew of an Italian Navy ship that responded to a distress call on Saturday morning from a boat carrying hundreds of migrants discovered the bodies of more than 20 people piled on top of one another in the boat’s hold, Italian officials said. It was another ghastly reminder of the perils faced by migrants crossing the Mediterranean in overcrowded and unsafe vessels.",748,2015-08-15,40 Migrants Found Dead in Sea Rescue,Europe,2015
"As evacuation of a migrant camp in France continued, bulldozers ripped apart shelters. Many criticized the move.","As evacuation of a migrant camp in France continued, bulldozers ripped apart shelters. Many criticized the move.",0,2016-03-01,Dismantling Migrant Camp in Calais,Europe,2016
"Volunteers brought food and water to the city’s regional office for health and social services, where hundreds of migrants were waiting to apply for asylum.","Volunteers brought food and water to the city’s regional office for health and social services, where hundreds of migrants were waiting to apply for asylum.",0,2015-08-13,Berliners Help Stranded Migrants,Europe,2015
Chancellor Angela Merkel of Germany called on European countries to deal with the migrant crisis according to the values of the European Union.,Chancellor Angela Merkel of Germany called on European countries to deal with the migrant crisis according to the values of the European Union.,0,2015-10-07,Merkel Asks for Respect for Migrants,Europe,2015
"Fatima Kurdi, the aunt of Syrian boys who drowned trying to enter Turkey, spoke on Monday at a demonstration in Brussels and called on European Union leaders to welcome refugees.","Fatima Kurdi, the aunt of Syrian boys who drowned trying to enter Turkey, spoke on Monday at a demonstration in Brussels and called on European Union leaders to welcome refugees.",0,2015-09-15,Aunt of Syrian Toddler Urges Migrant Aid,Europe,2015
"The interior ministers agreed to share 40,000 migrants sheltering in Greece and Italy, but only on a voluntary basis, a watered-down version of a plan announced in May.","BRUSSELS — Even as three more countries followed Germany in introducing border checks to control a flood of migrants, the European Union on Monday failed to agree on a modest plan that would force individual countries to take in a share of some of the hundreds of thousands now seeking asylum in Europe.",1562,2015-09-14,More Border Controls as Europe Stalls on Migrant Quotas,Europe,2015
"For many African migrants trying to reach Europe, the way station of Libya can carry special peril if their skin is darker, a new report says.","DAKAR, Senegal — When Kalilu Drammeh arrived in Libya he was in many ways similar to thousands of other migrants from across Africa, all of them desperate to cross the sea to get to Europe and, they hoped, a better life.",906,2017-09-12,Sub-Saharan African Migrants Face Old Enemy in Libya: Bigotry,Africa,2017
"The French government got permission to relocate some of the migrants, but for now, anyway, the camp cannot be leveled, a court ruled.","CALAIS, France — Somewhere between the Good Chance Theater and the One Spirit Ashram Kitchen sits the School of Arts and Trades, not to mention the Hamid Karzai Restaurant and Arts in the Village.",1173,2016-02-25,Some Calais ‘Jungle’ Camp Migrants Get Eviction Reprieve,Europe,2016
"Rail services had resumed after almost 200 migrants broke through security near the opening of the Channel Tunnel in France, clashing with police officers and forcing a temporary suspension of service.","LONDON — Despite the expenditure of millions of dollars to reinforce fencing around the opening of the Channel Tunnel in France, about 200 migrants broke through security just after midnight on Friday, clashing with police officers and forcing a temporary suspension of both passenger and freight rail services.",635,2015-10-03,Migrants Evade Security to Enter Tunnel in France ,Europe,2015
The case of a Sudanese man who walked nearly the entire length of the Channel Tunnel has laid bare a moral and legal conundrum.,LONDON — The African man who risked death to reach Britain by walking nearly the entire length of the Channel Tunnel last week now faces another potential challenge: prison. But legal experts say that being charged with a crime should not preclude him from being granted asylum.,864,2015-08-11,Migrant’s Attempt to Cross English Channel on Foot Raises Asylum Questions,Europe,2015
Migrants formed a human chain to cross a river; at least three drowned. It was unclear whether they will be sent back to Greece.,"SKOPJE, Macedonia — Hundreds of migrants braved a fast-moving river to cross from Greece into Macedonia on Monday, defying efforts by European officials to stop people fleeing war and desperation from traveling through the Balkans to Germany and other destinations.",416,2016-03-14,"Defying E.U., Hundreds of Migrants Enter Macedonia From Greece",Europe,2016
The Italian refusal to offer safe harbor to a ship loaded with 629 migrants underscored long-simmering grievances and set off a full-blown sniping match.,PARIS — A boat crowded with hundreds of Africans sailing across the Mediterranean after being turned away by Italy this week has exposed anew the shaky fault lines in Europe’s approach to the migrant crisis.,1148,2018-06-13,Scorned Migrant Boat Exposes Raw Feelings Among European Allies,Europe,2018
Turkish leaders asked for more money to deal with the millions of Syrian refugees and sought progress on their effort to join the European Union.,BRUSSELS — Turkey surprised European Union leaders on Monday by hitting them with a new set of demands if it is to help stem the flow of refugees from Syria and Iraq and other migrants seeking to enter Europe.,1078,2016-03-07,Turkey Places Conditions on E.U. for Migrant Help,Europe,2016
